ISBN,Artist,Title,Author,Shelf
9780821226858,,,,C2
9780670372379,,,,C2
9783735601001,,,,C2
9780893811938,,,,C2
9780893812584,,,,C2
9780292710948,,,,C2
9783722568898,,,,C2
9780697003003,,,,C2
9789971848675,,End of C2: 22 Books,,C2
0394709624,,Start of C3,,C3
9780295960241,,,,C3
0728700352,,,,C3
9780865591707,,,,C3
0671554190,,,,C3
0870702548,,,,C3
0943012260,,,,C3
9781567923407,,,,C3
0870702548,,,,C3
9780671250003,,,,C3
0876330367,,,,C3
0810961938,,,,C3
0890097313,,,,C3
9780112900498,,,,C3
0870705148,,,,C3
0517143135,,,,C3
0879852364,,,,C3
0486235858,,,,C3
9780945575931,,,,C3
0684165120,,,,C3
0871921170,,,,C3
0867062266,,End of C3: 22 Books,,C3
0517268256,,Start of C4,,C4
0870703021,,,,C4
9780714848402,,,,C4
0867062053,,,,C4
0817457267,,,,C4
0867062096,,,,C4
0867062061,,,,C4
9780867063547,,,,C4
0156443600,,,,C4
9780942642322,,,,C4
8448212053,,,,C4
0195199383,,,,C4
0878461329,,,,C4
0893810592,,,,C4
0870705431,,,,C4
0871567245,,,,C4
0900406410,,,,C4
0879050780,,,,C4
0906333156,,,,C4
3907509080,,,,C4
0831754141,,,,C4
9780893816131,,,,C4
0823005704,,,,C4
9780345242464,,,,C4
9780711709997,,,,C4
0810910632,,,,C4
0870701428,,,,C4
9781555952143,,,,C4
9780870704697,,End of C4: 29 Books,,C4
9780714817453,,Start of D1,,D1
0847803368,,,,D1
9780807605035,,,,D1
9780714832968,,,,D1
9780714814476,,,,D1
9780528810428,,,,D1
9780297783237,,,,D1
0714818364,,,,D1
0714819247,,,,D1
9780714819648,,,,D1
0810907038,,,,D1
1556700075,,,,D1
9780670743148,,,,D1
9780714849690,,,,D1
9780000000033,,,,D1
0878464220,,,,D1
9780198661078,,,,D1
0396081452,,,,D1
0890098425,,End of D1: 19 Books,,D1
0486234029,,Strat of D2,,D2
9780847804580,,,,D2
9780760711125,,,,D2
9780870444623,,,,D2
0896590887,,,,D2
9780000000736,,,,D2
9781299854710,,,,D2
9780785811787,,,,D2
9780810914230,,,,D2
9780226738819,,,,D2
9780000000613,,,,D2
9780020008200,,,,D2
9780910386531,,,,D2
9780882250083,,End of D2: 14 Books,,D2
9780486247908,,,,D3
9780671635145,,,,D3
9780809402397,,,,D3
9780810919112,,,,D3
9780399110399,,,,D3
9780070252134,,,,D3
9780900658556,,,,D3
9780670304264,,,,D3
0870995197,,,,D3
9780060114695,,,,D3
9781576840146,,,,D3
9780863552922,,,,D3
9780714838915,,,,D3
0486221776,,,,D3
9780810942745,,,,D3
0870700669,,,,D3
9781932598162,,,,D3
0870703587,,,,D3
3791304550,,End of D3: 19 Books,,D3
9780809402083,,Start of D4,,D4
9781199517098,,,,D4
9780809402397,,,,D4
9780809402625,,,,D4
9780809402076,,,,D4
9780316508155,,,,D4
9780809402113,,,,D4
9780809402502,,,,D4
9780809402564,,,,D4
9780809402205,,,,D4
9781135779207,,,,D4
9780316510806,,,,D4
9780809402045,,,,D4
9780900658761,,,,D4
9780809402816,,,,D4
9780809402250,,,,D4
9780809402113,,,,D4
9780809402083,,,,D4
9781199517098,,,,D4
9780809402328,,,,D4
9780809402120,,,,D4
9780316508155,,,,D4
9780809402397,,End of D4: 23 Books,,D4
